Question,User Answer,User Explanation
Truss count:,8,
Beam count:,18,
Total modifications/iterations:,50,
Free DOFs:,1,
Total compliance:,772302757.2,
Initial volume:,1.65,
Total structural volume:,4.127439,
Structural volume added for stabilization:,2.477439,
1. How much did you enjoy performing this assignment?,4,
1..,,It is fun to do requires some thinking for the stability of the building and see how everything works
2. How would you rate the level of ease in performing this assignment?,2,
2. How would you rate the level of ease in performing this assignment?,3,
2..,,"The way how the program works is quite easy, however, it requires some good thinking to see how everything works together. "
3. How well do you think you performed the assignment?,4,
3..,,"I think I did quite okay, but I did take into account some stability due to other adjencent members and it was unclear if that works as well"
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,Yes,
4..,,"It would have been nice to see when the structure is stable, because right now I just wanted to add some horizontal loads to see how everything deforms and that was not possible"
5. Do you think the AI tool itself can perform zoning better than you?,No,
5. Do you think the AI tool itself can perform zoning better than you?,No idea,
"5..,",,"Maybe, but also  it might not be possible to take into account everything and when analysing it your self that can be easier"
6. What criteria did you keep in mind while performing this assignment?,,"Stability requirements and not adding any diagonals within the insides of the building, only in the facades"
e-mail adress:,,
