Question,User Answer,User Explanation
Truss count:,36,
Beam count:,0,
Total modifications/iterations:,44,
Free DOFs:,0,
Total compliance:,79506544.55,
Initial volume:,1.65,
Total structural volume:,3.044953,
Structural volume added for stabilization:,1.394953,
1. How much did you enjoy performing this assignment?,3,
1..,,"I linked the way of doing it. but the (stress) of having to speak did not helped me. Also did not really had a proper solution I think, this is because I am not educated that well right now :)"
2. How would you rate the level of ease in performing this assignment?,1,
2. How would you rate the level of ease in performing this assignment?,2,
2..,,This is due I just started the masters. 
3. How well do you think you performed the assignment?,3,
3..,,I have enough wind bracings to say that I think it will be stable
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,Yes,
4..,,"That would be a great tool, because it would really help the way of designing and will find the solution faster than people"
5. Do you think the AI tool itself can perform zoning better than you?,Yes,
"5..,",,If it learns from us it will be smarter  and find easier solutions
6. What criteria did you keep in mind while performing this assignment?,,stability requirements only
e-mail adress:,,
